#                \hbar \omega(eV)     Re(chi) (e^2*a_0^2/eV) Im(chi) (e^2*a_0^2/eV)
     chi_1_1=  0.000000000000000E+00  0.315885110811861E+01  -.000000000000000E+00
     chi_2_1=  0.000000000000000E+00  -.165895089270954E-04  0.000000000000000E+00
     chi_3_1=  0.000000000000000E+00  0.105431164697685E-04  -.000000000000000E+00
     chi_1_2=  0.000000000000000E+00  -.165882490704900E-04  0.000000000000000E+00
     chi_2_2=  0.000000000000000E+00  0.315835171415210E+01  -.000000000000000E+00
     chi_3_2=  0.000000000000000E+00  0.703495514467714E-05  -.000000000000000E+00
     chi_1_3=  0.000000000000000E+00  0.107942849288630E-04  -.000000000000000E+00
     chi_2_3=  0.000000000000000E+00  0.727799896618121E-05  -.000000000000000E+00
     chi_3_3=  0.000000000000000E+00  0.169897653398547E+01  -.000000000000000E+00
     chi_1_1=  0.100000000000000E-01  0.315885432948382E+01  0.877673956242158E-04
     chi_2_1=  0.100000000000000E-01  -.165895514954614E-04  -.116023003701057E-08
     chi_3_1=  0.100000000000000E-01  0.105431571683495E-04  0.110969892932796E-08
     chi_1_2=  0.100000000000000E-01  -.165882916274355E-04  -.115991809371852E-08
     chi_2_2=  0.100000000000000E-01  0.315835493482810E+01  0.877486128898209E-04
     chi_3_2=  0.100000000000000E-01  0.703498582019435E-05  0.836545995301783E-09
     chi_1_3=  0.100000000000000E-01  0.107943279766360E-04  0.117388452816295E-08
     chi_2_3=  0.100000000000000E-01  0.727803188442492E-05  0.897820127051258E-09
     chi_3_3=  0.100000000000000E-01  0.169897758187994E+01  0.285400098736691E-04
     chi_1_1=  0.200000000000000E-01  0.315886399364434E+01  0.175536563472227E-03
     chi_2_1=  0.200000000000000E-01  -.165896792016757E-04  -.232049057067742E-08
     chi_3_1=  0.200000000000000E-01  0.105432792654139E-04  0.221943398453006E-08
     chi_1_2=  0.200000000000000E-01  -.165884192993876E-04  -.231986666509609E-08
     chi_2_2=  0.200000000000000E-01  0.315836459692094E+01  0.175498997548209E-03
     chi_3_2=  0.200000000000000E-01  0.703507784782387E-05  0.167312146165304E-08
     chi_1_3=  0.200000000000000E-01  0.107944571214303E-04  0.234780939697412E-08
     chi_2_3=  0.200000000000000E-01  0.727813064037916E-05  0.179567370740637E-08
     chi_3_3=  0.200000000000000E-01  0.169898072557839E+01  0.570804297409936E-04
     chi_1_1=  0.300000000000000E-01  0.315888010079484E+01  0.263309275874010E-03
     chi_2_1=  0.300000000000000E-01  -.165898920490875E-04  -.348081209958529E-08
     chi_3_1=  0.300000000000000E-01  0.105434827649269E-04  0.332924129409402E-08
     chi_1_2=  0.300000000000000E-01  -.165886320896934E-04  -.347987619371803E-08
     chi_2_2=  0.300000000000000E-01  0.315838070062526E+01  0.263252925849885E-03
     chi_3_2=  0.300000000000000E-01  0.703523123079971E-05  0.250975587233815E-08
     chi_1_3=  0.300000000000000E-01  0.107946723676720E-04  0.352181495022965E-08
     chi_2_3=  0.300000000000000E-01  0.727829523771358E-05  0.269359419710521E-08
     chi_3_3=  0.300000000000000E-01  0.169898596512586E+01  0.856216696165406E-04
     chi_1_1=  0.400000000000000E-01  0.315890265125976E+01  0.351087305371907E-03
     chi_2_1=  0.400000000000000E-01  -.165901900432788E-04  -.464122512617593E-08
     chi_3_1=  0.400000000000000E-01  0.105437676734973E-04  0.443915699173498E-08
     chi_1_2=  0.400000000000000E-01  -.165889300039314E-04  -.463997716302235E-08
     chi_2_2=  0.400000000000000E-01  0.315840324626542E+01  0.351012169881882E-03
     chi_3_2=  0.400000000000000E-01  0.703544597451205E-05  0.334647870511155E-08
     chi_1_3=  0.400000000000000E-01  0.107949737227383E-04  0.469594153802184E-08
     chi_2_3=  0.400000000000000E-01  0.727852568254444E-05  0.359161505766002E-08
     chi_3_3=  0.400000000000000E-01  0.169899330059747E+01  0.114164139556702E-03
     chi_1_1=  0.500000000000000E-01  0.315893164549337E+01  0.438872424826847E-03
     chi_2_1=  0.500000000000000E-01  -.165905731920651E-04  -.580176015867719E-08
     chi_3_1=  0.500000000000000E-01  0.105441340003780E-04  0.554921721901007E-08
     chi_1_2=  0.500000000000000E-01  -.165893130499123E-04  -.580020006222676E-08
     chi_2_2=  0.500000000000000E-01  0.315843223429556E+01  0.438778502049739E-03
     chi_3_2=  0.500000000000000E-01  0.703572208650771E-05  0.418331944443351E-08
     chi_1_3=  0.500000000000000E-01  0.107953611969582E-04  0.587022951988850E-08
     chi_2_3=  0.500000000000000E-01  0.727882198343533E-05  0.448976975879270E-08
     chi_3_3=  0.500000000000000E-01  0.169900273209836E+01  0.142708249680615E-03
     chi_1_1=  0.600000000000000E-01  0.315896708407975E+01  0.526666407524594E-03
     chi_2_1=  0.600000000000000E-01  -.165910415054955E-04  -.696244771303288E-08
     chi_3_1=  0.600000000000000E-01  0.105445817574667E-04  0.665945812793400E-08
     chi_1_2=  0.600000000000000E-01  -.165897812376790E-04  -.696057538825621E-08
     chi_2_2=  0.600000000000000E-01  0.315846766529962E+01  0.526553695183725E-03
     chi_3_2=  0.600000000000000E-01  0.703605957649081E-05  0.502030758370682E-08
     chi_1_3=  0.600000000000000E-01  0.107958348036130E-04  0.704471926796335E-08
     chi_2_3=  0.600000000000000E-01  0.727918415139765E-05  0.538809178117306E-08
     chi_3_3=  0.600000000000000E-01  0.169901425976372E+01  0.171254410191085E-03
     chi_1_1=  0.700000000000000E-01  0.315900896773288E+01  0.614471027282057E-03
     chi_2_1=  0.700000000000000E-01  -.165915949958537E-04  -.812331831483335E-08
