#                \hbar \omega(eV)     Re(chi) (e^2*a_0^2/eV) Im(chi) (e^2*a_0^2/eV)
     chi_1_1=  0.000000000000000E+00  0.246346934290612E+02  -.000000000000000E+00
     chi_2_1=  0.000000000000000E+00  0.110624556592782E-05  -.000000000000000E+00
     chi_3_1=  0.000000000000000E+00  0.151986193371932E-06  -.000000000000000E+00
     chi_1_2=  0.000000000000000E+00  0.110530563477402E-05  -.000000000000000E+00
     chi_2_2=  0.000000000000000E+00  0.248448816707691E+02  -.000000000000000E+00
     chi_3_2=  0.000000000000000E+00  0.171629647985544E-05  -.000000000000000E+00
     chi_1_3=  0.000000000000000E+00  0.157058880014911E-06  -.000000000000000E+00
     chi_2_3=  0.000000000000000E+00  0.171680368464463E-05  -.000000000000000E+00
     chi_3_3=  0.000000000000000E+00  0.224867918500369E+02  -.000000000000000E+00
     chi_1_1=  0.100000000000000E-01  0.246347146471108E+02  0.578080100902643E-03
     chi_2_1=  0.100000000000000E-01  0.110624814875412E-05  0.703818841570857E-10
     chi_3_1=  0.100000000000000E-01  0.151985917881457E-06  -.754681087646419E-11
     chi_1_2=  0.100000000000000E-01  0.110530820634211E-05  0.700740567546867E-10
     chi_2_2=  0.100000000000000E-01  0.248449025278500E+02  0.568136974376663E-03
     chi_3_2=  0.100000000000000E-01  0.171629941548215E-05  0.799831352725422E-10
     chi_1_3=  0.100000000000000E-01  0.157058681605402E-06  -.543562716851556E-11
     chi_2_3=  0.100000000000000E-01  0.171680662734836E-05  0.801768509040963E-10
     chi_3_3=  0.100000000000000E-01  0.224868102865382E+02  0.502210399802209E-03
     chi_1_1=  0.200000000000000E-01  0.246347783016784E+02  0.115617164242650E-02
     chi_2_1=  0.200000000000000E-01  0.110625589729198E-05  0.140765379206555E-09
     chi_3_1=  0.200000000000000E-01  0.151985091380435E-06  -.150944348491277E-10
     chi_1_2=  0.200000000000000E-01  0.110531592110451E-05  0.140149700549700E-09
     chi_2_2=  0.200000000000000E-01  0.248449650994403E+02  0.113628344071886E-02
     chi_3_2=  0.200000000000000E-01  0.171630822242189E-05  0.159967898622214E-09
     chi_1_3=  0.200000000000000E-01  0.157058086355308E-06  -.108718461861125E-10
     chi_2_3=  0.200000000000000E-01  0.171681545551987E-05  0.160355348292139E-09
     chi_3_3=  0.200000000000000E-01  0.224868655963544E+02  0.100442933311126E-02
     chi_1_1=  0.300000000000000E-01  0.246348843940190E+02  0.173428606606709E-02
     chi_2_1=  0.300000000000000E-01  0.110626881171843E-05  0.211152096128620E-09
     chi_3_1=  0.300000000000000E-01  0.151983713780063E-06  -.226436851378935E-10
     chi_1_2=  0.300000000000000E-01  0.110532877923562E-05  0.210228518510012E-09
     chi_2_2=  0.300000000000000E-01  0.248450693865829E+02  0.170444889152038E-02
     chi_3_2=  0.300000000000000E-01  0.171632290085356E-05  0.239955918215193E-09
     chi_1_3=  0.300000000000000E-01  0.157057094199919E-06  -.163092489815120E-10
     chi_2_3=  0.300000000000000E-01  0.171683016934004E-05  0.240537138740403E-09
     chi_3_3=  0.300000000000000E-01  0.224869577804231E+02  0.150666533392828E-02
     chi_1_1=  0.400000000000000E-01  0.246350329262254E+02  0.231243481506874E-02
     chi_2_1=  0.400000000000000E-01  0.110628689232848E-05  0.281543646079150E-09
     chi_3_1=  0.400000000000000E-01  0.151981784932325E-06  -.301953752101029E-10
     chi_1_2=  0.400000000000000E-01  0.110534678102609E-05  0.280312097929889E-09
     chi_2_2=  0.400000000000000E-01  0.248452153910160E+02  0.227264282033164E-02
     chi_3_2=  0.400000000000000E-01  0.171634345107531E-05  0.319948822395765E-09
     chi_1_3=  0.400000000000000E-01  0.157055705031377E-06  -.217484276427319E-10
     chi_2_3=  0.400000000000000E-01  0.171685076911037E-05  0.320723869009837E-09
     chi_3_3=  0.400000000000000E-01  0.224870868403067E+02  0.200892693724293E-02
     chi_1_1=  0.500000000000000E-01  0.246352239012268E+02  0.289062933529941E-02
     chi_2_1=  0.500000000000000E-01  0.110631013953516E-05  0.351941640477530E-09
     chi_3_1=  0.500000000000000E-01  0.151979304629964E-06  -.377503189043320E-10
     chi_1_2=  0.500000000000000E-01  0.110536992688289E-05  0.350402026357560E-09
     chi_2_2=  0.500000000000000E-01  0.248454031151733E+02  0.284087472228809E-02
     chi_3_2=  0.500000000000000E-01  0.171636987350459E-05  0.399948239775399E-09
     chi_1_3=  0.500000000000000E-01  0.157053918698661E-06  -.271899744967770E-10
     chi_2_3=  0.500000000000000E-01  0.171687725525300E-05  0.400917186138420E-09
     chi_3_3=  0.500000000000000E-01  0.224872527781928E+02  0.251122267952796E-02
     chi_1_1=  0.600000000000000E-01  0.246354573227903E+02  0.346888107612590E-02
     chi_2_1=  0.600000000000000E-01  0.110633855386957E-05  0.422347691094530E-09
     chi_3_1=  0.600000000000000E-01  0.151976272606456E-06  -.453093305542817E-10
     chi_1_2=  0.600000000000000E-01  0.110539821732928E-05  0.420499891679910E-09
     chi_2_2=  0.600000000000000E-01  0.248456325621839E+02  0.340915409463889E-02
     chi_3_2=  0.600000000000000E-01  0.171640216867814E-05  0.479955799321863E-09
     chi_1_3=  0.600000000000000E-01  0.157051735007564E-06  -.326344821893822E-10
     chi_2_3=  0.600000000000000E-01  0.171690962831070E-05  0.481118737533562E-09
     chi_3_3=  0.600000000000000E-01  0.224874555968943E+02  0.301356109923376E-02
     chi_1_1=  0.700000000000000E-01  0.246357331955206E+02  0.404720149128980E-02
     chi_2_1=  0.700000000000000E-01  0.110637213598088E-05  0.492763410140212E-09
