#  E (eV)   dos(E)     Int dos(E) EFermi =   -1.660 eV
 -29.795  0.6535E+00  0.4028E+01
 -29.785  0.8216E+00  0.4036E+01
 -29.775  0.1022E+01  0.4046E+01
 -29.765  0.1257E+01  0.4059E+01
 -29.755  0.1530E+01  0.4074E+01
 -29.745  0.1842E+01  0.4092E+01
 -29.735  0.2195E+01  0.4114E+01
 -29.725  0.2586E+01  0.4140E+01
 -29.715  0.3014E+01  0.4170E+01
 -29.705  0.3476E+01  0.4205E+01
 -29.695  0.3965E+01  0.4245E+01
 -29.685  0.4474E+01  0.4289E+01
 -29.675  0.4995E+01  0.4339E+01
 -29.665  0.5516E+01  0.4394E+01
 -29.655  0.6027E+01  0.4455E+01
 -29.645  0.6513E+01  0.4520E+01
 -29.635  0.6964E+01  0.4590E+01
 -29.625  0.7365E+01  0.4663E+01
 -29.615  0.7706E+01  0.4740E+01
 -29.605  0.7976E+01  0.4820E+01
 -29.595  0.8167E+01  0.4902E+01
 -29.585  0.8272E+01  0.4984E+01
 -29.575  0.8289E+01  0.5067E+01
 -29.565  0.8217E+01  0.5149E+01
 -29.555  0.8058E+01  0.5230E+01
 -29.545  0.7817E+01  0.5308E+01
 -29.535  0.7502E+01  0.5383E+01
 -29.525  0.7122E+01  0.5454E+01
 -29.515  0.6689E+01  0.5521E+01
 -29.505  0.6215E+01  0.5583E+01
 -29.495  0.5714E+01  0.5641E+01
 -29.485  0.5197E+01  0.5693E+01
 -29.475  0.4678E+01  0.5739E+01
 -29.465  0.4167E+01  0.5781E+01
 -29.455  0.3675E+01  0.5818E+01
 -29.445  0.3210E+01  0.5850E+01
 -29.435  0.2779E+01  0.5878E+01
 -29.425  0.2388E+01  0.5902E+01
 -29.415  0.2041E+01  0.5922E+01
 -29.405  0.1740E+01  0.5939E+01
 -29.395  0.1487E+01  0.5954E+01
 -29.385  0.1283E+01  0.5967E+01
 -29.375  0.1128E+01  0.5978E+01
 -29.365  0.1021E+01  0.5989E+01
 -29.355  0.9637E+00  0.5998E+01
 -29.345  0.9546E+00  0.6008E+01
 -29.335  0.9941E+00  0.6018E+01
 -29.325  0.1082E+01  0.6029E+01
 -29.315  0.1219E+01  0.6041E+01
 -29.305  0.1405E+01  0.6055E+01
 -29.295  0.1640E+01  0.6071E+01
 -29.285  0.1923E+01  0.6090E+01
 -29.275  0.2253E+01  0.6113E+01
 -29.265  0.2628E+01  0.6139E+01
 -29.255  0.3044E+01  0.6170E+01
 -29.245  0.3497E+01  0.6205E+01
 -29.235  0.3980E+01  0.6244E+01
 -29.225  0.4485E+01  0.6289E+01
 -29.215  0.5002E+01  0.6339E+01
 -29.205  0.5522E+01  0.6394E+01
 -29.195  0.6030E+01  0.6455E+01
 -29.185  0.6516E+01  0.6520E+01
 -29.175  0.6965E+01  0.6590E+01
 -29.165  0.7366E+01  0.6663E+01
 -29.155  0.7707E+01  0.6740E+01
 -29.145  0.7977E+01  0.6820E+01
 -29.135  0.8167E+01  0.6902E+01
 -29.125  0.8272E+01  0.6984E+01
 -29.115  0.8289E+01  0.7067E+01
 -29.105  0.8217E+01  0.7150E+01
 -29.095  0.8057E+01  0.7230E+01
 -29.085  0.7816E+01  0.7308E+01
 -29.075  0.7500E+01  0.7383E+01
 -29.065  0.7120E+01  0.7454E+01
 -29.055  0.6687E+01  0.7521E+01
 -29.045  0.6212E+01  0.7583E+01
 -29.035  0.5709E+01  0.7641E+01
 -29.025  0.5191E+01  0.7692E+01
 -29.015  0.4669E+01  0.7739E+01
 -29.005  0.4154E+01  0.7781E+01
 -28.995  0.3656E+01  0.7817E+01
 -28.985  0.3184E+01  0.7849E+01
 -28.975  0.2743E+01  0.7877E+01
 -28.965  0.2338E+01  0.7900E+01
 -28.955  0.1972E+01  0.7920E+01
 -28.945  0.1645E+01  0.7936E+01
 -28.935  0.1359E+01  0.7950E+01
 -28.925  0.1113E+01  0.7961E+01
 -28.915  0.9027E+00  0.7970E+01
 -28.905  0.7276E+00  0.7977E+01
 -28.895  0.5844E+00  0.7983E+01
 -28.885  0.4704E+00  0.7988E+01
 -28.875  0.3830E+00  0.7992E+01
 -28.865  0.3200E+00  0.7995E+01
 -28.855  0.2795E+00  0.7997E+01
 -28.845  0.2603E+00  0.8000E+01
 -28.835  0.2620E+00  0.8003E+01
 -28.825  0.2848E+00  0.8006E+01
 -28.815  0.3295E+00  0.8009E+01
 -28.805  0.3978E+00  0.8013E+01
 -28.795  0.4921E+00  0.8018E+01
 -28.785  0.6152E+00  0.8024E+01
 -28.775  0.7706E+00  0.8032E+01
 -28.765  0.9621E+00  0.8041E+01
 -28.755  0.1194E+01  0.8053E+01
 -28.745  0.1469E+01  0.8068E+01
 -28.735  0.1792E+01  0.8086E+01
 -28.725  0.2166E+01  0.8107E+01
 -28.715  0.2593E+01  0.8133E+01
 -28.705  0.3075E+01  0.8164E+01
 -28.695  0.3611E+01  0.8200E+01
 -28.685  0.4201E+01  0.8242E+01
 -28.675  0.4842E+01  0.8291E+01
 -28.665  0.5529E+01  0.8346E+01
 -28.655  0.6255E+01  0.8409E+01
 -28.645  0.7013E+01  0.8479E+01
 -28.635  0.7792E+01  0.8557E+01
 -28.625  0.8583E+01  0.8642E+01
 -28.615  0.9371E+01  0.8736E+01
 -28.605  0.1015E+02  0.8838E+01
 -28.595  0.1089E+02  0.8946E+01
 -28.585  0.1159E+02  0.9062E+01
 -28.575  0.1224E+02  0.9185E+01
 -28.565  0.1282E+02  0.9313E+01
 -28.555  0.1333E+02  0.9446E+01
 -28.545  0.1374E+02  0.9584E+01
 -28.535  0.1405E+02  0.9724E+01
 -28.525  0.1426E+02  0.9867E+01
 -28.515  0.1437E+02  0.1001E+02
 -28.505  0.1436E+02  0.1015E+02
 -28.495  0.1424E+02  0.1030E+02
 -28.485  0.1401E+02  0.1044E+02
 -28.475  0.1368E+02  0.1057E+02
 -28.465  0.1326E+02  0.1071E+02
 -28.455  0.1274E+02  0.1083E+02
 -28.445  0.1215E+02  0.1095E+02
 -28.435  0.1149E+02  0.1107E+02
 -28.425  0.1078E+02  0.1118E+02
 -28.415  0.1003E+02  0.1128E+02
 -28.405  0.9256E+01  0.1137E+02
 -28.395  0.8467E+01  0.1146E+02
 -28.385  0.7677E+01  0.1153E+02
 -28.375  0.6900E+01  0.1160E+02
 -28.365  0.6146E+01  0.1166E+02
 -28.355  0.5425E+01  0.1172E+02
 -28.345  0.4745E+01  0.1176E+02
 -28.335  0.4111E+01  0.1181E+02
 -28.325  0.3529E+01  0.1184E+02
 -28.315  0.3000E+01  0.1187E+02
 -28.305  0.2526E+01  0.1190E+02
 -28.295  0.2106E+01  0.1192E+02
 -28.285  0.1738E+01  0.1193E+02
 -28.275  0.1421E+01  0.1195E+02
 -28.265  0.1150E+01  0.1196E+02
